#n   age/yr      logL   logTef Mact   Mcore C/O
#(1) (2)         (3)    (4)    (5)    (6)   (7)
 42 1.651940e+05 4.5722 3.5797 4.4998 0.9275 1.188
 43 1.696980e+05 4.5746 3.5782 4.4998 0.9276 1.223
 44 1.742180e+05 4.5770 3.5768 4.4998 0.9276 1.256
 45 1.787520e+05 4.5794 3.5755 4.4998 0.9277 1.289
 46 1.833000e+05 4.5818 3.5739 4.4998 0.9278 1.320
 47 1.878620e+05 4.5842 3.5722 4.4997 0.9278 1.350
 48 1.924380e+05 4.5866 3.5712 4.4997 0.9279 1.379
 49 1.970270e+05 4.5890 3.5697 4.4997 0.9279 1.407
 50 2.016290e+05 4.5914 3.5680 4.4997 0.9280 1.433
 51 2.062430e+05 4.5938 3.5669 4.4997 0.9280 1.458
 52 2.108690e+05 4.5962 3.5654 4.4997 0.9281 1.482
 53 2.155060e+05 4.5986 3.5639 4.4997 0.9281 1.505
 54 2.201550e+05 4.6011 3.5622 4.4997 0.9282 1.527
 55 2.248140e+05 4.6035 3.5612 4.4997 0.9282 1.543
 56 2.294850e+05 4.6059 3.5597 4.4996 0.9283 1.567
 57 2.341660e+05 4.6083 3.5582 4.4996 0.9284 1.585
 58 2.388570e+05 4.6108 3.5566 4.4996 0.9284 1.602
 59 2.435570e+05 4.6132 3.5556 4.4996 0.9285 1.619
 60 2.482680e+05 4.6157 3.5541 4.4996 0.9285 1.634
 61 2.529870e+05 4.6181 3.5527 4.4996 0.9286 1.649
 62 2.577150e+05 4.6206 3.5511 4.4995 0.9286 1.663
 63 2.624520e+05 4.6231 3.5496 4.4995 0.9287 1.676
 64 2.671970e+05 4.6256 3.5486 4.4995 0.9287 1.688
 65 2.719500e+05 4.6281 3.5472 4.4995 0.9288 1.700
 66 2.767110e+05 4.6306 3.5457 4.4994 0.9289 1.711
 67 2.814800e+05 4.6331 3.5443 4.4994 0.9289 1.721
 68 2.862550e+05 4.6356 3.5429 4.4994 0.9290 1.731
 69 2.910370e+05 4.6381 3.5416 4.4994 0.9290 1.740
 70 2.958270e+05 4.6406 3.5405 4.4993 0.9291 1.749
 71 3.006220e+05 4.6432 3.5391 4.4993 0.9291 1.757
 72 3.054240e+05 4.6457 3.5377 4.4993 0.9292 1.765
 73 3.102310e+05 4.6483 3.5363 4.4992 0.9293 1.772
 74 3.150450e+05 4.6508 3.5350 4.4992 0.9293 1.780
 75 3.198640e+05 4.6534 3.5336 4.4991 0.9294 1.787
 76 3.246880e+05 4.6560 3.5322 4.4991 0.9294 1.794
 77 3.295170e+05 4.6586 3.5308 4.4991 0.9295 1.800
 78 3.343510e+05 4.6612 3.5297 4.4990 0.9296 1.806
 79 3.391890e+05 4.6638 3.5286 4.4990 0.9296 1.811
 80 3.440320e+05 4.6664 3.5273 4.4989 0.9297 1.817
 81 3.488790e+05 4.6690 3.5260 4.4989 0.9297 1.822
 82 3.537300e+05 4.6716 3.5247 4.4988 0.9298 1.826
 83 3.585850e+05 4.6742 3.5234 4.4988 0.9298 1.830
 84 3.634440e+05 4.6768 3.5221 4.4987 0.9299 1.836
 85 3.683060e+05 4.6795 3.5209 4.4987 0.9300 1.840
 86 3.731710e+05 4.6821 3.5196 4.4986 0.9300 1.844
 87 3.780400e+05 4.6847 3.5183 4.4985 0.9301 1.848
 88 3.829110e+05 4.6874 3.5171 4.4985 0.9301 1.852
 89 3.877850e+05 4.6900 3.5159 4.4984 0.9302 1.851
 90 3.926620e+05 4.6927 3.5146 4.4984 0.9303 1.853
 91 3.975410e+05 4.6953 3.5134 4.4983 0.9303 1.867
 92 4.024220e+05 4.6980 3.5121 4.4982 0.9304 1.858
 93 4.073060e+05 4.7006 3.5109 4.4981 0.9304 1.900
 94 4.121910e+05 4.7033 3.5091 4.4981 0.9305 1.848
 95 4.170790e+05 4.7060 3.5085 4.4980 0.9306 1.877
 96 4.219680e+05 4.7086 3.5068 4.4979 0.9306 1.825
 97 4.268590e+05 4.7113 3.5065 4.4978 0.9307 1.814
 98 4.317510e+05 4.7140 3.5054 4.4977 0.9307 1.958
 99 4.366440e+05 4.7167 3.5022 4.4976 0.9308 1.804
100 4.415390e+05 4.7193 3.5030 4.4975 0.9309 1.763
101 4.464350e+05 4.7220 3.5027 4.4973 0.9309 1.776
102 4.513320e+05 4.7246 3.5011 4.4968 0.9310 1.750
103 4.562310e+05 4.7272 3.5004 4.4960 0.9310 1.738
104 4.611320e+05 4.7297 3.4997 4.4946 0.9311 1.737
105 4.660350e+05 4.7320 3.4986 4.4917 0.9312 1.735
106 4.709440e+05 4.7337 3.4974 4.4850 0.9312 1.740
107 4.758650e+05 4.7347 3.4963 4.4732 0.9313 1.729
108 4.808060e+05 4.7355 3.4952 4.4602 0.9313 1.726
109 4.857720e+05 4.7362 3.4942 4.4466 0.9314 1.724
110 4.907620e+05 4.7369 3.4934 4.4324 0.9315 1.729
111 4.957800e+05 4.7373 3.4922 4.4169 0.9315 1.731
112 4.994400e+05 4.7369 3.4913 4.4050 0.9313 1.714
113 5.045100e+05 4.7380 3.4906 4.3889 0.9317 1.718
114 5.096060e+05 4.7379 3.4890 4.3698 0.9318 1.713
115 5.147370e+05 4.7376 3.4884 4.3500 0.9319 1.711
116 5.199050e+05 4.7373 3.4873 4.3298 0.9319 1.696
117 5.251100e+05 4.7369 3.4862 4.3094 0.9320 1.692
118 5.303520e+05 4.7364 3.4855 4.2884 0.9320 1.688
119 5.356330e+05 4.7358 3.4844 4.2666 0.9321 1.683
120 5.409550e+05 4.7350 3.4833 4.2441 0.9321 1.688
121 5.463180e+05 4.7340 3.4821 4.2200 0.9321 1.681
122 5.517250e+05 4.7328 3.4810 4.1948 0.9322 1.672
123 5.571790e+05 4.7315 3.4799 4.1695 0.9322 1.654
124 5.626810e+05 4.7301 3.4792 4.1431 0.9323 1.656
125 5.682310e+05 4.7283 3.4781 4.1147 0.9323 1.653
126 5.738340e+05 4.7261 3.4769 4.0845 0.9323 1.645
127 5.794940e+05 4.7236 3.4758 4.0522 0.9323 1.635
128 5.852140e+05 4.7209 3.4746 4.0188 0.9323 1.657
129 5.909890e+05 4.7178 3.4731 3.9832 0.9324 1.651
130 5.968150e+05 4.7145 3.4719 3.9462 0.9324 1.641
131 6.026960e+05 4.7108 3.4711 3.9081 0.9324 1.703
132 6.086320e+05 4.7068 3.4687 3.8675 0.9324 1.862
133 6.146260e+05 4.7021 3.4645 3.8237 0.9324 2.168
134 6.206820e+05 4.6965 3.4595 3.7748 0.9325 2.418
135 6.268070e+05 4.6896 3.4558 3.7183 0.9325 2.624
136 6.330100e+05 4.6815 3.4524 3.6557 0.9325 2.807
137 6.393000e+05 4.6719 3.4499 3.5852 0.9325 2.979
138 6.456840e+05 4.6610 3.4473 3.5079 0.9326 3.152
139 6.521700e+05 4.6487 3.4446 3.4232 0.9326 2.893
140 6.587660e+05 4.6367 3.4446 3.3409 0.9326 2.727
141 6.654660e+05 4.6248 3.4441 3.2603 0.9327 2.650
142 6.722650e+05 4.6127 3.4430 3.1788 0.9327 2.643
143 6.791620e+05 4.5999 3.4411 3.0941 0.9327 2.695
144 6.861600e+05 4.5861 3.4387 3.0044 0.9328 2.491
145 6.932600e+05 4.5722 3.4386 2.9149 0.9328 2.429
146 7.004600e+05 4.5573 3.4372 2.8204 0.9329 2.483
147 7.077620e+05 4.5416 3.4345 2.7214 0.9329 2.422
148 7.151680e+05 4.5247 3.4326 2.6158 0.9329 2.541
149 7.226820e+05 4.5058 3.4287 2.4982 0.9330 2.840
150 7.303110e+05 4.4833 3.4235 2.3583 0.9330 3.438
151 7.380710e+05 4.4549 3.4155 2.1786 0.9331 4.198
152 7.459910e+05 4.4178 3.4067 1.9273 0.9331 5.074
153 7.541180e+05 4.3673 3.4004 1.4971 0.9332 6.414
